date_time,cost
1/1/21,1.06
1/2/21,1.52
1/3/21,1.81
1/4/21,12.72
1/5/21,12.16
1/6/21,13.11
1/7/21,8.7
1/8/21,9.29
1/9/21,2.76
1/10/21,2.7
1/11/21,12.98
1/12/21,12.62
1/13/21,12.29
1/14/21,8.55
1/15/21,12.09
1/16/21,2.31
1/17/21,2.26
1/18/21,0.67
1/19/21,15.86
1/20/21,19.87
1/21/21,19
1/22/21,15.62
1/23/21,2.52
1/24/21,2.14
1/25/21,12.04
1/26/21,13.03
1/27/21,18.9
1/28/21,70.1
1/29/21,12.08
1/30/21,2.8
1/31/21,2.91
2/1/21,15.34
2/2/21,17.8
2/3/21,18.85
2/4/21,6.34
2/5/21,17.38
2/6/21,2.72
2/7/21,2.76
2/8/21,22.41
2/9/21,22.14
2/10/21,26.79
2/11/21,28.26
2/12/21,15.47
2/13/21,2.73
2/14/21,2.8
2/15/21,62.63
2/16/21,22.67
2/17/21,26.5
2/18/21,21.49
2/19/21,21.94
2/20/21,2.86
2/21/21,2.98
2/22/21,25.73
2/23/21,25.82
2/24/21,28.26
2/25/21,23.55
2/26/21,69.3
2/27/21,2.94
2/28/21,2.97
3/1/21,29.87
3/2/21,29.91
3/3/21,29.73
3/4/21,23.41
3/5/21,24.14
3/6/21,3.15
3/7/21,3.53
3/8/21,34.98
3/9/21,33.07
3/10/21,33.55
3/11/21,35.33
3/12/21,31.94
3/13/21,3.27
3/14/21,3.63
3/15/21,33.25
3/16/21,33.12
3/17/21,36.35
3/18/21,30.18
3/19/21,35.47
3/20/21,3.66
3/21/21,3.15
3/22/21,33.4
3/23/21,33.68
3/24/21,33.13
3/25/21,28.56
3/26/21,30.76
3/27/21,3.1
3/28/21,3.4
3/29/21,37.52
3/30/21,37.51
3/31/21,42.97
4/1/21,29.74
4/2/21,1.89
4/3/21,3.46
4/4/21,3.42
4/5/21,62.89
4/6/21,37.76
4/7/21,37.83
4/8/21,32.85
4/9/21,35.91
4/10/21,3.54
4/11/21,3.91
4/12/21,39.98
4/13/21,39.94
4/14/21,39.45
4/15/21,38.41
4/16/21,45.46
4/17/21,3.75
4/18/21,3.71
4/19/21,42.99
4/20/21,43.98
4/21/21,43.85
4/22/21,35.91
4/23/21,41.94
4/24/21,3.7
4/25/21,3.61
4/26/21,44.01
4/27/21,44.05
4/28/21,45.54
4/29/21,44.67
4/30/21,48.56
5/1/21,3.73
5/2/21,3.68
5/3/21,44.15
5/4/21,44.18
5/5/21,49
5/6/21,39.58
5/7/21,41.79
5/8/21,3.86
5/9/21,3.84
5/10/21,44.34
5/11/21,44.32
5/12/21,40.32
5/13/21,29.29
5/14/21,42.52
5/15/21,3.85
5/16/21,3.84
5/17/21,48.38
5/18/21,48.2
5/19/21,47.38
5/20/21,47.24
5/21/21,49.88
5/22/21,3.85
5/23/21,3.84
5/24/21,48.87
5/25/21,48.67
5/26/21,45.47
5/27/21,40.31
